model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2,0.001,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid,0.001,,100,1.0,1.0,1.0
CNN_model_paper2,0.001,,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,50,1.0,1.0,1.0
CNN_model_paper2,0.001,0.33,100,0.9166666666666666,0.8888888888888888,1.0
CNN_model_paper2,1e-05,0.33,3,0.8333333333333334,0.7777777777777778,1.0
CNN_model_paper,1e-07,0.33,3,0.75,1.0,0.0
CNN_model_paper_withDropout,1e-05,,3,0.75,1.0,0.0
simple_CNN_model_1,1e-05,,3,0.75,1.0,0.0
CNN_model_paper,1e-06,,3,0.75,1.0,0.0
CNN_model_paper2,1e-06,,3,0.75,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,3,0.75,1.0,0.0
simple_CNN_model_1,1e-06,,3,0.75,1.0,0.0
CNN_model_paper,0.001,0.33,3,0.75,1.0,0.0
CNN_model_paper2,1e-06,0.33,3,0.75,1.0,0.0
simple_CNN_model_1,0.0001,,3,0.75,1.0,0.0
CNN_model_paper2,0.001,0.33,3,0.75,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,3,0.75,1.0,0.0
simple_CNN_model_1,0.001,0.33,3,0.75,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,3,0.75,1.0,0.0
CNN_model_paper,1e-05,,3,0.75,1.0,0.0
cnn_model_succeeded,0.001,,3,0.75,1.0,0.0
CNN_model_paper_withDropout,0.0001,,3,0.75,1.0,0.0
CNN_model_paper,0.0001,,3,0.75,1.0,0.0
CNN_model_paper,0.0001,0.33,3,0.75,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,,3,0.75,1.0,0.0
simple_CNN_model_1,0.001,,3,0.75,1.0,0.0
CNN_model_paper_withDropout,0.001,,3,0.75,1.0,0.0
CNN_model_paper2,0.001,,3,0.75,1.0,0.0
CNN_model_paper,0.001,,3,0.75,1.0,0.0
simple_CNN_model_1,1e-07,0.33,3,0.75,1.0,0.0
cnn_model_succeeded,1e-07,,1,0.75,1.0,0.0
simple_CNN_model_1,1e-07,,1,0.75,1.0,0.0
CNN_model_paper_withDropout,1e-07,,1,0.75,1.0,0.0
CNN_model_paper2,1e-07,,1,0.75,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,1,0.75,1.0,0.0
cnn_model_succeeded,0.001,0.33,3,0.75,1.0,0.0
simple_CNN_model_1,0.0001,0.33,3,0.75,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,3,0.75,1.0,0.0
cnn_model_succeeded,1e-06,0.33,1,0.75,1.0,0.0
simple_CNN_model_1,1e-05,0.33,50,0.75,1.0,0.0
