model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2_raw,0.0001,,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,100,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,10,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,20,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,3,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,5,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,3,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,3,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,10,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,3,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,20,1.0,1.0,1.0
