model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_3,1e-05,,20,1.0,1.0,1.0
simple_NN_PL_model_3,0.01,,50,1.0,1.0,1.0
simple_NN_PL_model_1,0.01,,50,1.0,1.0,1.0
simple_NN_PL_model_2,0.01,,50,1.0,1.0,1.0
simple_NN_PL_model_3,0.001,,20,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_3,0.01,,5,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_2,0.01,0.33,50,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_1,0.01,0.33,50,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_2,0.01,,8,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_3,0.01,0.33,50,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_3,0.001,,5,0.9166666666666666,0.8333333333333334,1.0
simple_NN_PL_model_2,1e-05,,50,0.9166666666666666,1.0,0.8333333333333334
simple_NN_PL_model_3,1e-05,,50,0.8333333333333334,1.0,0.6666666666666666
simple_NN_PL_model_3,0.001,,50,0.8333333333333334,0.8333333333333334,0.8333333333333334
simple_NN_PL_model_2,1e-06,0.33,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
simple_NN_PL_model_2,0.01,,20,0.8333333333333334,1.0,0.6666666666666666
simple_NN_PL_model_1,0.001,,50,0.8333333333333334,1.0,0.6666666666666666
simple_NN_PL_model_3,0.001,,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
simple_NN_PL_model_3,0.0001,,10,0.8333333333333334,0.8333333333333334,0.8333333333333334
simple_NN_PL_model_2,0.001,,50,0.8333333333333334,0.8333333333333334,0.8333333333333334
simple_NN_PL_model_3,0.01,,20,0.8333333333333334,1.0,0.6666666666666666
simple_NN_PL_model_2,1e-05,0.33,3,0.75,0.5,1.0
simple_NN_PL_model_2,0.001,,8,0.75,0.5,1.0
simple_NN_PL_model_1,0.001,,5,0.75,0.6666666666666666,0.8333333333333334
simple_NN_PL_model_3,0.01,0.33,20,0.75,0.5,1.0
simple_NN_PL_model_1,0.001,,20,0.75,0.8333333333333334,0.6666666666666666
simple_NN_PL_model_2,0.001,,10,0.75,0.8333333333333334,0.6666666666666666
simple_NN_PL_model_3,0.0001,,5,0.75,0.5,1.0
simple_NN_PL_model_3,0.001,,10,0.6666666666666666,1.0,0.3333333333333333
simple_NN_PL_model_2,0.001,,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
simple_NN_PL_model_1,0.01,0.33,20,0.6666666666666666,0.3333333333333333,1.0
simple_NN_PL_model_1,0.01,,5,0.6666666666666666,0.3333333333333333,1.0
simple_NN_PL_model_2,0.0001,,50,0.6666666666666666,0.8333333333333334,0.5
simple_NN_PL_model_1,1e-05,0.33,8,0.6666666666666666,0.3333333333333333,1.0
simple_NN_PL_model_3,1e-05,,5,0.6666666666666666,0.3333333333333333,1.0
simple_NN_PL_model_2,0.01,0.33,20,0.6666666666666666,0.3333333333333333,1.0
simple_NN_PL_model_1,0.0001,,10,0.6666666666666666,0.3333333333333333,1.0
