model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_rawdata_model_1,0.01,,8,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,4,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,4,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,10,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,8,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,3,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,20,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,20,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.001,0.33,20,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,20,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,20,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,8,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,5,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,5,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,10,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,3,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_1,0.01,0.33,4,0.9444444444444444,0.9,1.0
simple_NN_rawdata_model_1,0.001,0.33,8,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_1,0.01,0.33,8,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_2,0.01,,3,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_3,0.01,,20,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_1,0.001,,20,0.9444444444444444,1.0,0.875
simple_NN_rawdata_model_3,0.001,0.33,3,0.8888888888888888,0.8,1.0
simple_NN_rawdata_model_2,0.001,,20,0.8888888888888888,1.0,0.75
simple_NN_rawdata_model_1,1e-06,,10,0.8888888888888888,1.0,0.75
simple_NN_rawdata_model_2,0.01,,5,0.8888888888888888,0.8,1.0
simple_NN_rawdata_model_2,0.01,0.33,5,0.8888888888888888,0.8,1.0
simple_NN_rawdata_model_3,0.01,0.33,20,0.8888888888888888,0.8,1.0
simple_NN_rawdata_model_3,0.01,,8,0.8333333333333334,0.7,1.0
simple_NN_rawdata_model_2,1e-05,,5,0.8333333333333334,1.0,0.625
simple_NN_rawdata_model_3,1e-05,,4,0.8333333333333334,0.9,0.75
simple_NN_rawdata_model_1,1e-06,0.33,10,0.8333333333333334,0.7,1.0
simple_NN_rawdata_model_3,0.01,,5,0.8333333333333334,0.7,1.0
simple_NN_rawdata_model_2,1e-06,0.33,10,0.8333333333333334,0.7,1.0
simple_NN_rawdata_model_2,1e-05,0.33,20,0.8333333333333334,1.0,0.625
simple_NN_rawdata_model_1,0.001,0.33,3,0.8333333333333334,1.0,0.625
simple_NN_rawdata_model_3,0.01,0.33,10,0.7777777777777778,0.6,1.0
simple_NN_rawdata_model_2,0.0001,0.33,8,0.7777777777777778,0.6,1.0
simple_NN_rawdata_model_3,0.0001,,4,0.7777777777777778,0.9,0.625
simple_NN_rawdata_model_2,0.001,0.33,20,0.7777777777777778,0.7,0.875
simple_NN_rawdata_model_1,0.001,,10,0.7777777777777778,0.6,1.0
simple_NN_rawdata_model_2,0.001,,8,0.7222222222222222,1.0,0.375
simple_NN_rawdata_model_3,1e-06,,8,0.7222222222222222,0.7,0.75
simple_NN_rawdata_model_2,0.0001,,5,0.7222222222222222,1.0,0.375
simple_NN_rawdata_model_3,0.001,,5,0.7222222222222222,0.5,1.0
simple_NN_rawdata_model_3,1e-06,,10,0.7222222222222222,0.9,0.5
simple_NN_rawdata_model_2,0.001,0.33,10,0.7222222222222222,0.5,1.0
simple_NN_rawdata_model_1,0.01,0.33,3,0.7222222222222222,0.6,0.875
simple_NN_rawdata_model_3,0.01,,4,0.7222222222222222,1.0,0.375
simple_NN_rawdata_model_3,0.001,,3,0.7222222222222222,0.5,1.0
simple_NN_rawdata_model_2,0.0001,,8,0.6666666666666666,0.7,0.625
simple_NN_rawdata_model_3,0.0001,0.33,20,0.6666666666666666,1.0,0.25
simple_NN_rawdata_model_3,1e-06,,20,0.6666666666666666,1.0,0.25
simple_NN_rawdata_model_1,1e-06,0.33,5,0.6666666666666666,0.5,0.875
simple_NN_rawdata_model_1,0.001,0.33,4,0.6666666666666666,0.4,1.0
simple_NN_rawdata_model_2,0.001,,10,0.6666666666666666,0.4,1.0
simple_NN_rawdata_model_2,1e-05,0.33,3,0.6666666666666666,0.9,0.375
simple_NN_rawdata_model_2,0.001,,4,0.6666666666666666,0.4,1.0
simple_NN_rawdata_model_3,0.001,0.33,4,0.6666666666666666,0.8,0.5
simple_NN_rawdata_model_3,0.001,,20,0.6111111111111112,0.3,1.0
simple_NN_rawdata_model_1,1e-05,,4,0.6111111111111112,0.8,0.375
simple_NN_rawdata_model_3,0.01,0.33,4,0.6111111111111112,0.8,0.375
simple_NN_rawdata_model_1,0.0001,,8,0.6111111111111112,0.4,0.875
simple_NN_rawdata_model_1,1e-05,,8,0.6111111111111112,0.8,0.375
simple_NN_rawdata_model_1,0.001,0.33,10,0.6111111111111112,1.0,0.125
simple_NN_rawdata_model_1,1e-06,,20,0.6111111111111112,1.0,0.125
simple_NN_rawdata_model_1,1e-05,,3,0.6111111111111112,1.0,0.125
simple_NN_rawdata_model_3,0.001,0.33,10,0.6111111111111112,1.0,0.125
simple_NN_rawdata_model_1,0.0001,0.33,3,0.6111111111111112,0.3,1.0
simple_NN_rawdata_model_1,0.001,,5,0.6111111111111112,1.0,0.125
simple_NN_rawdata_model_2,1e-05,,3,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_1,0.0001,0.33,10,0.5555555555555556,0.6,0.5
simple_NN_rawdata_model_3,0.0001,0.33,3,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_1,1e-06,0.33,8,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_2,0.001,,5,0.5555555555555556,0.9,0.125
simple_NN_rawdata_model_3,0.0001,0.33,8,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_1,1e-05,0.33,8,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_1,0.0001,0.33,8,0.5555555555555556,0.2,1.0
simple_NN_rawdata_model_3,0.0001,,10,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_3,1e-05,0.33,10,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_3,0.01,0.33,3,0.5555555555555556,0.2,1.0
simple_NN_rawdata_model_2,1e-05,0.33,4,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_2,1e-06,,20,0.5555555555555556,0.6,0.5
simple_NN_rawdata_model_3,1e-05,,10,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_2,0.0001,,20,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_3,1e-06,,4,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_3,1e-05,0.33,3,0.5555555555555556,0.6,0.5
simple_NN_rawdata_model_2,0.0001,,4,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_2,0.0001,0.33,5,0.5555555555555556,1.0,0.0
simple_NN_rawdata_model_2,1e-05,0.33,10,0.5,0.1,1.0
simple_NN_rawdata_model_2,0.001,,3,0.5,0.4,0.625
simple_NN_rawdata_model_3,0.001,0.33,20,0.5,0.8,0.125
simple_NN_rawdata_model_2,1e-06,0.33,8,0.5,0.9,0.0
simple_NN_rawdata_model_1,1e-05,0.33,10,0.5,0.1,1.0
simple_NN_rawdata_model_3,1e-05,,20,0.5,0.7,0.25
simple_NN_rawdata_model_1,0.0001,,3,0.5,0.1,1.0
simple_NN_rawdata_model_2,1e-06,0.33,5,0.5,0.4,0.625
simple_NN_rawdata_model_1,1e-06,,5,0.5,0.1,1.0
simple_NN_rawdata_model_3,1e-06,0.33,3,0.5,0.1,1.0
simple_NN_rawdata_model_3,1e-06,0.33,20,0.5,0.9,0.0
simple_NN_rawdata_model_2,1e-05,0.33,5,0.5,0.8,0.125
simple_NN_rawdata_model_1,0.001,,4,0.5,0.2,0.875
simple_NN_rawdata_model_1,1e-06,,3,0.5,0.2,0.875
simple_NN_rawdata_model_1,0.0001,0.33,4,0.5,0.2,0.875
simple_NN_rawdata_model_1,1e-05,,10,0.5,0.3,0.75
simple_NN_rawdata_model_3,0.0001,0.33,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,1e-06,,4,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,0.0001,0.33,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_1,1e-05,,5,0.4444444444444444,0.8,0.0
simple_NN_rawdata_model_3,1e-06,0.33,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.01,,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.001,0.33,5,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,1e-06,,5,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.001,,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_1,0.001,,3,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,0.0001,,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,1e-05,,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.01,,3,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.01,0.33,5,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,1e-06,,8,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_1,0.0001,0.33,5,0.4444444444444444,0.8,0.0
simple_NN_rawdata_model_3,1e-06,0.33,8,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,1e-05,,5,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,0.0001,0.33,4,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_1,0.0001,,10,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_3,0.0001,,3,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,0.001,0.33,3,0.4444444444444444,0.2,0.75
simple_NN_rawdata_model_3,0.0001,0.33,5,0.4444444444444444,0.0,1.0
simple_NN_rawdata_model_2,0.001,0.33,8,0.4444444444444444,0.7,0.125
