model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid,1e-06,,100,0.5825,0.5609756097560976,0.6051282051282051
cnn_model_succeeded,1e-05,0.33,20,0.575,0.8048780487804879,0.3333333333333333
simple_CNN_model_1_sigmoid,1e-05,,100,0.575,0.44390243902439025,0.7128205128205128
simple_CNN_model_1_sigmoid,1e-07,,50,0.5675,0.5658536585365853,0.5692307692307692
simple_CNN_model_1_sigmoid,1e-06,,3,0.565,0.624390243902439,0.5025641025641026
CNN_model_paper2,0.001,,20,0.5625,0.4975609756097561,0.6307692307692307
cnn_model_succeeded,1e-06,0.33,10,0.5575,0.5609756097560976,0.5538461538461539
CNN_model_paper2,0.001,,5,0.5525,0.3170731707317073,0.8
cnn_model_succeeded,1e-06,0.33,20,0.5525,0.697560975609756,0.4
cnn_model_succeeded,1e-07,0.33,50,0.55,0.48292682926829267,0.6205128205128205
CNN_model_paper2,1e-06,,10,0.55,0.5170731707317073,0.5846153846153846
CNN_model_paper2,1e-05,,20,0.5475,0.7414634146341463,0.3435897435897436
CNN_model_paper2,0.0001,0.33,100,0.5475,0.5219512195121951,0.5743589743589743
CNN_model_paper2,0.001,0.33,20,0.5475,0.7365853658536585,0.3487179487179487
cnn_model_succeeded,0.001,,5,0.5475,0.7317073170731707,0.35384615384615387
simple_CNN_model_1_sigmoid,1e-07,0.33,10,0.545,0.4878048780487805,0.6051282051282051
simple_CNN_model_1_sigmoid,1e-06,0.33,5,0.5425,0.43414634146341463,0.6564102564102564
cnn_model_succeeded,1e-05,0.33,100,0.5425,0.7414634146341463,0.3333333333333333
CNN_model_paper2,0.0001,,100,0.5425,0.3902439024390244,0.7025641025641025
CNN_model_paper2,0.0001,0.33,20,0.54,0.3121951219512195,0.7794871794871795
cnn_model_succeeded,0.0001,,20,0.54,0.21951219512195122,0.8769230769230769
cnn_model_succeeded,1e-07,,100,0.54,0.45365853658536587,0.6307692307692307
CNN_model_paper2,0.0001,,20,0.5375,0.23902439024390243,0.8512820512820513
cnn_model_succeeded,1e-05,,100,0.535,0.7804878048780488,0.27692307692307694
cnn_model_succeeded,1e-05,0.33,1,0.535,0.5658536585365853,0.5025641025641026
CNN_model_paper2,0.001,,10,0.535,0.751219512195122,0.3076923076923077
cnn_model_succeeded,0.0001,,3,0.535,0.8878048780487805,0.1641025641025641
cnn_model_succeeded,1e-05,0.33,50,0.535,0.8975609756097561,0.15384615384615385
simple_CNN_model_1_sigmoid,1e-05,0.33,20,0.535,0.7365853658536585,0.3230769230769231
CNN_model_paper2,1e-06,0.33,10,0.535,0.5073170731707317,0.5641025641025641
simple_CNN_model_1_sigmoid,1e-06,,20,0.5325,0.2975609756097561,0.7794871794871795
simple_CNN_model_1_sigmoid,1e-07,,3,0.5325,0.48292682926829267,0.5846153846153846
simple_CNN_model_1_sigmoid,1e-05,0.33,10,0.5325,0.6536585365853659,0.40512820512820513
CNN_model_paper2,0.0001,,3,0.53,0.40487804878048783,0.6615384615384615
cnn_model_succeeded,1e-05,,1,0.53,0.8292682926829268,0.2153846153846154
CNN_model_paper2,1e-06,,50,0.53,0.5121951219512195,0.5487179487179488
simple_CNN_model_1_sigmoid,0.001,,10,0.53,0.24878048780487805,0.8256410256410256
cnn_model_succeeded,0.0001,0.33,100,0.53,0.9414634146341463,0.09743589743589744
cnn_model_succeeded,1e-06,,50,0.53,0.24878048780487805,0.8256410256410256
CNN_model_paper2,1e-05,,50,0.5275,0.4926829268292683,0.5641025641025641
cnn_model_succeeded,1e-05,,20,0.5275,0.7463414634146341,0.29743589743589743
simple_CNN_model_1_sigmoid,1e-06,,50,0.5275,0.4195121951219512,0.6410256410256411
simple_CNN_model_1_sigmoid,1e-06,,1,0.5275,0.44878048780487806,0.6102564102564103
simple_CNN_model_1_sigmoid,1e-07,0.33,20,0.5275,0.4682926829268293,0.5897435897435898
simple_CNN_model_1_sigmoid,1e-05,0.33,1,0.5275,0.35121951219512193,0.7128205128205128
cnn_model_succeeded,0.0001,0.33,5,0.5275,0.7414634146341463,0.30256410256410254
CNN_model_paper2,0.0001,0.33,10,0.5275,0.6878048780487804,0.358974358974359
CNN_model_paper2,0.0001,,1,0.525,0.7073170731707317,0.3333333333333333
CNN_model_paper2,1e-06,,5,0.525,0.5317073170731708,0.517948717948718
cnn_model_succeeded,1e-05,,5,0.5225,0.2975609756097561,0.7589743589743589
cnn_model_succeeded,1e-05,,50,0.5225,0.24390243902439024,0.8153846153846154
CNN_model_paper2,1e-05,,3,0.5225,0.5121951219512195,0.5333333333333333
cnn_model_succeeded,0.0001,,50,0.5225,0.8975609756097561,0.1282051282051282
cnn_model_succeeded,0.0001,,5,0.5225,0.5804878048780487,0.46153846153846156
CNN_model_paper2,1e-05,0.33,20,0.5225,0.16585365853658537,0.8974358974358975
CNN_model_paper2,1e-05,0.33,100,0.52,0.22439024390243903,0.8307692307692308
cnn_model_succeeded,1e-06,0.33,5,0.52,0.624390243902439,0.41025641025641024
CNN_model_paper2,1e-07,0.33,100,0.52,0.5024390243902439,0.5384615384615384
cnn_model_succeeded,0.0001,,100,0.52,0.8926829268292683,0.1282051282051282
simple_CNN_model_1_sigmoid,1e-05,,20,0.5175,0.7804878048780488,0.24102564102564103
CNN_model_paper2,0.001,0.33,5,0.5175,0.7707317073170732,0.2512820512820513
CNN_model_paper2,0.0001,,50,0.5175,0.9707317073170731,0.041025641025641026
CNN_model_paper2,0.001,0.33,50,0.5175,0.44390243902439025,0.5948717948717949
CNN_model_paper2,0.001,,3,0.5175,0.8731707317073171,0.14358974358974358
cnn_model_succeeded,0.0001,0.33,10,0.5175,1.0,0.010256410256410256
simple_CNN_model_1_sigmoid,1e-06,0.33,100,0.5175,0.3121951219512195,0.7333333333333333
cnn_model_succeeded,1e-06,,3,0.5175,0.4146341463414634,0.6256410256410256
CNN_model_paper2,1e-06,0.33,100,0.515,0.4292682926829268,0.6051282051282051
cnn_model_succeeded,1e-05,0.33,5,0.515,0.7414634146341463,0.27692307692307694
CNN_model_paper2,1e-06,0.33,50,0.515,0.5317073170731708,0.49743589743589745
CNN_model_paper2,0.0001,,10,0.515,0.9170731707317074,0.09230769230769231
cnn_model_succeeded,1e-05,,3,0.515,0.44390243902439025,0.5897435897435898
simple_CNN_model_1_sigmoid,1e-05,,5,0.515,0.8146341463414634,0.2
CNN_model_paper2,1e-07,0.33,50,0.515,0.4926829268292683,0.5384615384615384
cnn_model_succeeded,0.001,,1,0.515,0.5024390243902439,0.5282051282051282
CNN_model_paper2,1e-07,,10,0.515,0.4975609756097561,0.5333333333333333
CNN_model_paper,1e-06,,100,0.5125,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,,100,0.5125,1.0,0.0
simple_CNN_model_1,0.001,0.33,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,,100,0.5125,1.0,0.0
CNN_model_paper,1e-05,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,,50,0.5125,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,0.33,20,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,,10,0.5125,1.0,0.0
CNN_model_paper,1e-05,0.33,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,100,0.5125,1.0,0.0
