model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2,0.001,,20,0.5725,0.6666666666666666,0.4855769230769231
cnn_model_succeeded,1e-07,,100,0.5625,0.5625,0.5625
CNN_model_paper2,0.0001,,100,0.5575,0.734375,0.3942307692307692
simple_CNN_model_1_sigmoid,0.0001,,3,0.5575,0.4270833333333333,0.6778846153846154
CNN_model_paper2,0.0001,,20,0.555,0.078125,0.9951923076923077
cnn_model_succeeded,1e-06,,100,0.55,0.4583333333333333,0.6346153846153846
cnn_model_succeeded,1e-05,0.33,1,0.55,0.4010416666666667,0.6875
simple_CNN_model_1_sigmoid,0.0001,,20,0.55,0.203125,0.8701923076923077
cnn_model_succeeded,1e-06,0.33,20,0.55,0.4635416666666667,0.6298076923076923
simple_CNN_model_1_sigmoid,1e-07,0.33,5,0.5475,0.3177083333333333,0.7596153846153846
CNN_model_paper2,0.0001,,50,0.5475,0.6041666666666666,0.4951923076923077
cnn_model_succeeded,1e-05,,100,0.5475,0.4947916666666667,0.5961538461538461
simple_CNN_model_1_sigmoid,1e-06,,5,0.545,0.3697916666666667,0.7067307692307693
CNN_model_paper2,1e-05,0.33,20,0.545,0.3072916666666667,0.7644230769230769
cnn_model_succeeded,1e-07,,20,0.5425,0.4947916666666667,0.5865384615384616
CNN_model_paper2,1e-07,,50,0.5375,0.4947916666666667,0.5769230769230769
CNN_model_paper2,1e-06,,5,0.5375,0.5677083333333334,0.5096153846153846
cnn_model_succeeded,1e-06,0.33,100,0.5375,0.5833333333333334,0.4951923076923077
cnn_model_succeeded,1e-05,,3,0.535,0.5833333333333334,0.49038461538461536
CNN_model_paper2,0.001,0.33,5,0.535,0.203125,0.8413461538461539
simple_CNN_model_1_sigmoid,1e-07,0.33,10,0.5325,0.4739583333333333,0.5865384615384616
CNN_model_paper2,1e-05,,20,0.5325,0.125,0.9086538461538461
CNN_model_paper2,1e-06,,10,0.5325,0.4947916666666667,0.5673076923076923
cnn_model_succeeded,0.0001,,3,0.5325,0.390625,0.6634615384615384
cnn_model_succeeded,0.0001,,100,0.53,0.026041666666666668,0.9951923076923077
CNN_model_paper2,1e-05,,100,0.53,0.5416666666666666,0.5192307692307693
CNN_model_paper2,1e-05,0.33,50,0.53,0.11979166666666667,0.9086538461538461
simple_CNN_model_1_sigmoid,1e-05,0.33,10,0.53,0.3854166666666667,0.6634615384615384
cnn_model_succeeded,1e-05,0.33,5,0.53,0.11979166666666667,0.9086538461538461
cnn_model_succeeded,1e-07,0.33,20,0.53,0.4635416666666667,0.5913461538461539
cnn_model_succeeded,1e-06,,3,0.5275,0.4947916666666667,0.5576923076923077
cnn_model_succeeded,1e-06,0.33,3,0.5275,0.5416666666666666,0.5144230769230769
simple_CNN_model_1_sigmoid,1e-06,0.33,50,0.5275,0.052083333333333336,0.9663461538461539
cnn_model_succeeded,1e-05,,20,0.5275,0.484375,0.5673076923076923
cnn_model_succeeded,1e-06,,5,0.5275,0.4739583333333333,0.5769230769230769
cnn_model_succeeded,1e-07,,3,0.5275,0.11458333333333333,0.9086538461538461
cnn_model_succeeded,1e-06,,10,0.525,0.3020833333333333,0.7307692307692307
simple_CNN_model_1_sigmoid,1e-05,,10,0.525,0.020833333333333332,0.9903846153846154
cnn_model_succeeded,0.0001,0.33,50,0.525,0.15104166666666666,0.8701923076923077
cnn_model_succeeded,1e-05,0.33,50,0.525,0.22395833333333334,0.8028846153846154
CNN_model_paper2,0.0001,0.33,100,0.525,0.609375,0.44711538461538464
CNN_model_paper2,1e-07,,100,0.525,0.5104166666666666,0.5384615384615384
simple_CNN_model_1_sigmoid,1e-06,0.33,1,0.5225,0.5833333333333334,0.46634615384615385
simple_CNN_model_1_sigmoid,0.001,,3,0.5225,0.005208333333333333,1.0
cnn_model_succeeded,1e-05,0.33,100,0.5225,0.005208333333333333,1.0
CNN_model_paper2,1e-06,,1,0.5225,0.08333333333333333,0.9278846153846154
CNN_model_paper2,0.0001,,10,0.5225,0.24479166666666666,0.7788461538461539
CNN_model_paper2,0.001,0.33,10,0.52,0.0,1.0
CNN_model_paper2,1e-06,0.33,3,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,20,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,10,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,0.33,10,0.52,0.0,1.0
cnn_model_succeeded,0.001,,50,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,100,0.52,0.0,1.0
CNN_model_paper2,1e-07,0.33,3,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,50,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,0.33,100,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,50,0.52,0.0,1.0
CNN_model_paper2,0.001,0.33,100,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,5,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,10,0.52,0.0,1.0
CNN_model_paper2,0.001,,3,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,0.33,5,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,50,0.52,0.0,1.0
cnn_model_succeeded,0.001,,3,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,0.33,50,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,10,0.52,0.057291666666666664,0.9471153846153846
simple_CNN_model_1_sigmoid,0.001,0.33,20,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,20,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,100,0.52,0.0,1.0
CNN_model_paper2,0.001,0.33,50,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,100,0.52,0.0,1.0
cnn_model_succeeded,0.0001,,1,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,100,0.52,0.0,1.0
cnn_model_succeeded,0.001,,1,0.52,0.0,1.0
cnn_model_succeeded,1e-05,,10,0.52,0.359375,0.6682692307692307
cnn_model_succeeded,0.001,,20,0.52,0.0,1.0
cnn_model_succeeded,0.001,,5,0.52,0.0,1.0
cnn_model_succeeded,1e-07,,10,0.52,0.0,1.0
cnn_model_succeeded,0.0001,0.33,20,0.52,0.005208333333333333,0.9951923076923077
cnn_model_succeeded,0.001,0.33,1,0.52,0.0,1.0
cnn_model_succeeded,0.0001,,20,0.52,0.005208333333333333,0.9951923076923077
simple_CNN_model_1_sigmoid,0.0001,,10,0.52,0.005208333333333333,0.9951923076923077
CNN_model_paper2,0.001,0.33,3,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,5,0.52,0.0,1.0
cnn_model_succeeded,0.001,,100,0.52,0.0,1.0
cnn_model_succeeded,0.0001,0.33,1,0.52,0.015625,0.9855769230769231
simple_CNN_model_1_sigmoid,0.0001,,1,0.52,0.0,1.0
cnn_model_succeeded,0.001,0.33,3,0.52,0.0,1.0
CNN_model_paper2,1e-07,,5,0.52,0.005208333333333333,0.9951923076923077
cnn_model_succeeded,0.001,,10,0.52,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,3,0.52,0.03125,0.9711538461538461
cnn_model_succeeded,0.0001,0.33,3,0.52,0.005208333333333333,0.9951923076923077
CNN_model_paper2,1e-05,,1,0.5175,0.3802083333333333,0.6442307692307693
cnn_model_succeeded,1e-07,0.33,50,0.5175,0.4791666666666667,0.5528846153846154
CNN_model_paper2,1e-06,0.33,5,0.5175,0.3854166666666667,0.6394230769230769
cnn_model_succeeded,1e-07,0.33,1,0.5175,0.09895833333333333,0.9038461538461539
CNN_model_paper2,0.001,,1,0.5175,0.005208333333333333,0.9903846153846154
simple_CNN_model_1_sigmoid,1e-05,0.33,100,0.5175,0.010416666666666666,0.9855769230769231
CNN_model_paper2,0.001,,5,0.515,0.046875,0.9471153846153846
cnn_model_succeeded,1e-07,,5,0.515,0.5833333333333334,0.4519230769230769
cnn_model_succeeded,0.0001,0.33,10,0.515,0.005208333333333333,0.9855769230769231
simple_CNN_model_1_sigmoid,1e-06,,100,0.515,0.9479166666666666,0.11538461538461539
simple_CNN_model_1_sigmoid,1e-06,,50,0.515,0.3489583333333333,0.6682692307692307
CNN_model_paper2,1e-07,0.33,1,0.515,0.09375,0.9038461538461539
CNN_model_paper2,0.001,,10,0.515,0.8541666666666666,0.20192307692307693
simple_CNN_model_1_sigmoid,1e-07,,50,0.515,0.4583333333333333,0.5673076923076923
simple_CNN_model_1_sigmoid,1e-06,0.33,3,0.515,0.6197916666666666,0.4182692307692308
cnn_model_succeeded,1e-07,0.33,5,0.5125,0.03125,0.9567307692307693
CNN_model_paper2,1e-05,,3,0.5125,0.5052083333333334,0.5192307692307693
cnn_model_succeeded,1e-07,,1,0.5125,0.046875,0.9423076923076923
simple_CNN_model_1_sigmoid,1e-05,,100,0.5125,0.041666666666666664,0.9471153846153846
CNN_model_paper2,0.0001,0.33,3,0.51,0.390625,0.6201923076923077
cnn_model_succeeded,1e-06,0.33,50,0.51,0.4114583333333333,0.6009615384615384
cnn_model_succeeded,1e-05,,50,0.51,0.07291666666666667,0.9134615384615384
simple_CNN_model_1_sigmoid,1e-06,0.33,5,0.51,0.4427083333333333,0.5721153846153846
CNN_model_paper2,1e-06,0.33,10,0.51,0.4479166666666667,0.5673076923076923
CNN_model_paper2,1e-05,,50,0.51,0.734375,0.30288461538461536
CNN_model_paper2,0.0001,,5,0.51,0.9635416666666666,0.09134615384615384
CNN_model_paper2,0.0001,0.33,1,0.51,0.10416666666666667,0.8846153846153846
cnn_model_succeeded,0.0001,0.33,100,0.51,0.9270833333333334,0.125
CNN_model_paper2,0.0001,0.33,20,0.51,0.875,0.17307692307692307
simple_CNN_model_1_sigmoid,1e-05,,50,0.5075,0.036458333333333336,0.9423076923076923
CNN_model_paper2,0.001,0.33,1,0.5075,0.390625,0.6153846153846154
simple_CNN_model_1_sigmoid,1e-07,,20,0.505,0.4791666666666667,0.5288461538461539
CNN_model_paper2,1e-06,,50,0.505,0.609375,0.40865384615384615
