model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2_raw,0.001,0.33,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,20,0.9983333333333333,0.996415770609319,1.0
CNN_model_paper2_raw,0.001,0.33,100,0.9983333333333333,0.996415770609319,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,5,0.9983333333333333,0.996415770609319,1.0
cnn_model_succeeded_raw,0.001,0.33,10,0.9983333333333333,0.996415770609319,1.0
cnn_model_succeeded_raw,0.001,,100,0.9983333333333333,0.996415770609319,1.0
cnn_model_succeeded_raw,0.0001,0.33,50,0.9983333333333333,0.996415770609319,1.0
CNN_model_paper2_raw,0.0001,,50,0.9966666666666667,0.992831541218638,1.0
CNN_model_paper2_raw,0.001,0.33,5,0.9966666666666667,0.992831541218638,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,5,0.9966666666666667,1.0,0.9937694704049844
cnn_model_succeeded_raw,0.001,,50,0.9966666666666667,0.996415770609319,0.9968847352024922
cnn_model_succeeded_raw,0.0001,,10,0.9966666666666667,0.992831541218638,1.0
CNN_model_paper2_raw,0.001,0.33,50,0.9966666666666667,0.992831541218638,1.0
cnn_model_succeeded_raw,0.001,,10,0.995,0.989247311827957,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,20,0.995,0.989247311827957,1.0
cnn_model_succeeded_raw,0.0001,,100,0.995,0.992831541218638,0.9968847352024922
CNN_model_paper2_raw,0.001,,100,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.001,,50,0.995,0.989247311827957,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,100,0.995,0.992831541218638,0.9968847352024922
simple_CNN_model_1_sigmoid_raw,0.001,,100,0.995,0.989247311827957,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,50,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.001,0.33,3,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.001,,10,0.995,0.989247311827957,1.0
cnn_model_succeeded_raw,0.0001,0.33,20,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.001,0.33,10,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.001,,20,0.995,0.989247311827957,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,50,0.995,0.989247311827957,1.0
cnn_model_succeeded_raw,0.0001,,50,0.995,0.989247311827957,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,20,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,1e-05,,50,0.995,0.992831541218638,0.9968847352024922
CNN_model_paper2_raw,0.001,,5,0.995,0.989247311827957,1.0
CNN_model_paper2_raw,0.0001,,100,0.995,0.992831541218638,0.9968847352024922
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,3,0.9933333333333333,0.989247311827957,0.9968847352024922
cnn_model_succeeded_raw,0.0001,0.33,3,0.9933333333333333,0.989247311827957,0.9968847352024922
simple_CNN_model_1_sigmoid_raw,0.001,,50,0.9933333333333333,0.989247311827957,0.9968847352024922
cnn_model_succeeded_raw,1e-05,0.33,50,0.9933333333333333,0.985663082437276,1.0
cnn_model_succeeded_raw,0.001,,3,0.9933333333333333,0.985663082437276,1.0
cnn_model_succeeded_raw,0.0001,0.33,100,0.9933333333333333,0.985663082437276,1.0
cnn_model_succeeded_raw,1e-05,,20,0.9933333333333333,1.0,0.9875389408099688
cnn_model_succeeded_raw,0.001,,20,0.9933333333333333,0.985663082437276,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,20,0.9933333333333333,0.985663082437276,1.0
cnn_model_succeeded_raw,0.0001,,20,0.9933333333333333,0.989247311827957,0.9968847352024922
cnn_model_succeeded_raw,0.001,0.33,50,0.9933333333333333,0.985663082437276,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,5,0.9916666666666667,0.985663082437276,0.9968847352024922
cnn_model_succeeded_raw,0.001,,5,0.9916666666666667,0.982078853046595,1.0
cnn_model_succeeded_raw,1e-05,,100,0.9916666666666667,0.985663082437276,0.9968847352024922
CNN_model_paper2_raw,0.0001,0.33,20,0.9916666666666667,0.985663082437276,0.9968847352024922
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,100,0.9916666666666667,0.996415770609319,0.9875389408099688
simple_CNN_model_1_sigmoid_raw,0.001,0.33,50,0.9916666666666667,0.985663082437276,0.9968847352024922
CNN_model_paper2_raw,1e-05,,100,0.9916666666666667,0.985663082437276,0.9968847352024922
cnn_model_succeeded_raw,1e-06,,100,0.9916666666666667,0.989247311827957,0.9937694704049844
simple_CNN_model_1_sigmoid_raw,0.001,,5,0.9916666666666667,0.982078853046595,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,10,0.9916666666666667,0.985663082437276,0.9968847352024922
CNN_model_paper2_raw,0.0001,0.33,50,0.9916666666666667,0.989247311827957,0.9937694704049844
cnn_model_succeeded_raw,0.001,0.33,100,0.9916666666666667,0.982078853046595,1.0
