model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_1,1e-06,0.33,50,0.5725,0.3387096774193548,0.7757009345794392
simple_NN_PL_model_2,1e-06,0.33,50,0.57,0.7043010752688172,0.4532710280373832
simple_NN_PL_model_1,0.0001,0.33,8,0.5625,0.5860215053763441,0.5420560747663551
simple_NN_PL_model_2,0.0001,0.33,5,0.5575,0.3978494623655914,0.6962616822429907
simple_NN_PL_model_3,0.01,0.33,20,0.555,0.2849462365591398,0.7897196261682243
simple_NN_PL_model_3,0.001,0.33,3,0.55,0.07526881720430108,0.9626168224299065
simple_NN_PL_model_1,0.001,0.33,20,0.5475,0.1935483870967742,0.8551401869158879
simple_NN_PL_model_1,0.01,,50,0.545,0.4032258064516129,0.6682242990654206
simple_NN_PL_model_2,0.001,,5,0.5425,0.15591397849462366,0.8785046728971962
simple_NN_PL_model_3,0.01,0.33,8,0.5425,0.27419354838709675,0.7757009345794392
simple_NN_PL_model_1,1e-06,0.33,8,0.54,0.021505376344086023,0.9906542056074766
simple_NN_PL_model_2,0.001,,3,0.5375,0.016129032258064516,0.9906542056074766
simple_NN_PL_model_1,0.001,,10,0.5375,0.053763440860215055,0.9579439252336449
simple_NN_PL_model_3,0.001,,5,0.5375,0.25806451612903225,0.780373831775701
simple_NN_PL_model_2,1e-05,0.33,8,0.5375,0.4838709677419355,0.5841121495327103
simple_NN_PL_model_3,0.01,,5,0.5375,0.016129032258064516,0.9906542056074766
simple_NN_PL_model_3,0.01,,10,0.5375,0.005376344086021506,1.0
simple_NN_PL_model_3,1e-05,0.33,10,0.5375,0.6021505376344086,0.48130841121495327
simple_NN_PL_model_2,0.01,,3,0.535,0.44086021505376344,0.616822429906542
simple_NN_PL_model_1,0.01,,10,0.535,0.0,1.0
simple_NN_PL_model_1,0.001,,8,0.535,0.0,1.0
simple_NN_PL_model_1,1e-05,,10,0.535,0.5376344086021505,0.5327102803738317
simple_NN_PL_model_1,0.01,,8,0.535,0.0,1.0
simple_NN_PL_model_1,0.001,,5,0.535,0.0,1.0
simple_NN_PL_model_3,0.01,,50,0.535,0.0,1.0
simple_NN_PL_model_2,0.01,0.33,20,0.535,0.4838709677419355,0.5794392523364486
simple_NN_PL_model_1,1e-06,,10,0.535,0.0,1.0
simple_NN_PL_model_3,1e-05,,3,0.535,0.5,0.5654205607476636
simple_NN_PL_model_1,0.01,,3,0.535,0.0,1.0
simple_NN_PL_model_1,0.01,,20,0.535,0.0,1.0
simple_NN_PL_model_1,1e-06,,5,0.535,0.0,1.0
simple_NN_PL_model_2,0.001,0.33,10,0.5325,0.23118279569892472,0.794392523364486
simple_NN_PL_model_2,0.01,0.33,5,0.5325,0.005376344086021506,0.9906542056074766
simple_NN_PL_model_3,0.001,0.33,20,0.5325,0.25268817204301075,0.7757009345794392
simple_NN_PL_model_1,1e-05,,5,0.53,0.043010752688172046,0.9532710280373832
simple_NN_PL_model_3,0.0001,0.33,10,0.53,0.4731182795698925,0.5794392523364486
