model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_3,1e-05,,3,0.5475,0.4090909090909091,0.6831683168316832
simple_NN_PL_model_3,0.001,0.33,20,0.5475,0.2828282828282828,0.806930693069307
simple_NN_PL_model_3,0.001,0.33,10,0.545,0.5808080808080808,0.5099009900990099
simple_NN_PL_model_3,0.01,,10,0.545,0.5202020202020202,0.5693069306930693
simple_NN_PL_model_3,0.0001,0.33,10,0.5425,0.3181818181818182,0.7623762376237624
simple_NN_PL_model_3,0.001,,5,0.5425,0.3181818181818182,0.7623762376237624
simple_NN_PL_model_3,0.0001,0.33,20,0.5425,0.601010101010101,0.48514851485148514
simple_NN_PL_model_1,0.001,,8,0.54,0.4595959595959596,0.6188118811881188
simple_NN_PL_model_3,0.001,0.33,5,0.54,0.14646464646464646,0.9257425742574258
simple_NN_PL_model_3,0.0001,,3,0.5375,0.41414141414141414,0.6584158415841584
simple_NN_PL_model_2,0.001,0.33,50,0.5375,0.46464646464646464,0.6089108910891089
simple_NN_PL_model_1,0.0001,,8,0.535,0.5353535353535354,0.5346534653465347
simple_NN_PL_model_1,0.01,0.33,10,0.5325,0.3888888888888889,0.6732673267326733
simple_NN_PL_model_2,0.001,,8,0.5325,0.4494949494949495,0.6138613861386139
simple_NN_PL_model_1,0.0001,,50,0.5325,0.32323232323232326,0.7376237623762376
simple_NN_PL_model_3,0.01,0.33,20,0.53,0.5353535353535354,0.5247524752475248
simple_NN_PL_model_2,1e-05,0.33,5,0.53,0.5606060606060606,0.5
simple_NN_PL_model_1,1e-05,,50,0.53,0.46464646464646464,0.594059405940594
simple_NN_PL_model_3,0.01,,8,0.5275,0.5050505050505051,0.5495049504950495
simple_NN_PL_model_2,0.001,,10,0.5275,0.6565656565656566,0.400990099009901
simple_NN_PL_model_2,0.0001,,20,0.5275,0.5303030303030303,0.5247524752475248
simple_NN_PL_model_1,1e-05,,20,0.5275,0.4898989898989899,0.5643564356435643
simple_NN_PL_model_3,0.001,,50,0.5275,0.6565656565656566,0.400990099009901
simple_NN_PL_model_2,1e-05,,8,0.525,0.5,0.5495049504950495
simple_NN_PL_model_3,0.01,,50,0.525,0.702020202020202,0.35148514851485146
simple_NN_PL_model_3,0.0001,0.33,50,0.525,0.5454545454545454,0.504950495049505
simple_NN_PL_model_2,0.01,0.33,10,0.525,0.16161616161616163,0.8811881188118812
simple_NN_PL_model_2,1e-06,,20,0.525,0.7828282828282829,0.2722772277227723
simple_NN_PL_model_1,0.0001,0.33,8,0.5225,0.41414141414141414,0.6287128712871287
simple_NN_PL_model_2,0.0001,0.33,10,0.5225,0.5707070707070707,0.4752475247524752
simple_NN_PL_model_3,0.0001,,8,0.5225,0.23232323232323232,0.806930693069307
simple_NN_PL_model_1,0.001,,5,0.5225,0.09595959595959595,0.9405940594059405
simple_NN_PL_model_1,0.0001,0.33,10,0.5225,0.4797979797979798,0.5643564356435643
simple_NN_PL_model_2,0.0001,0.33,8,0.52,0.48484848484848486,0.5544554455445545
simple_NN_PL_model_2,1e-06,,5,0.52,0.3686868686868687,0.6683168316831684
simple_NN_PL_model_3,1e-05,0.33,50,0.52,0.5656565656565656,0.4752475247524752
simple_NN_PL_model_3,0.001,,10,0.52,0.07575757575757576,0.9554455445544554
