model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_3,0.01,,50,0.5825,0.40609137055837563,0.7536945812807881
simple_NN_PL_model_3,0.0001,,8,0.58,0.38071065989847713,0.7733990147783252
simple_NN_PL_model_2,0.0001,,3,0.5775,0.5583756345177665,0.5960591133004927
simple_NN_PL_model_3,0.0001,0.33,20,0.575,0.7715736040609137,0.3842364532019704
simple_NN_PL_model_3,0.01,,5,0.575,0.3604060913705584,0.7832512315270936
simple_NN_PL_model_3,0.01,,10,0.5725,0.27918781725888325,0.8571428571428571
simple_NN_PL_model_2,0.001,0.33,5,0.5675,0.350253807106599,0.7783251231527094
simple_NN_PL_model_1,0.001,0.33,3,0.565,0.48223350253807107,0.645320197044335
simple_NN_PL_model_1,0.001,,20,0.5625,0.29949238578680204,0.8177339901477833
simple_NN_PL_model_3,0.0001,,3,0.56,0.27411167512690354,0.8374384236453202
simple_NN_PL_model_3,0.01,0.33,50,0.56,0.7360406091370558,0.3891625615763547
simple_NN_PL_model_3,1e-05,,20,0.56,0.4213197969543147,0.6945812807881774
simple_NN_PL_model_2,0.001,,50,0.56,0.3604060913705584,0.7536945812807881
simple_NN_PL_model_1,1e-05,0.33,20,0.5575,0.49238578680203043,0.6206896551724138
simple_NN_PL_model_3,1e-05,,8,0.5575,0.3553299492385787,0.7536945812807881
simple_NN_PL_model_2,0.001,0.33,20,0.5525,0.3401015228426396,0.7586206896551724
simple_NN_PL_model_2,1e-05,,10,0.5525,0.2893401015228426,0.8078817733990148
simple_NN_PL_model_2,0.0001,0.33,20,0.5525,0.7969543147208121,0.31527093596059114
simple_NN_PL_model_2,1e-05,0.33,50,0.5475,0.7106598984771574,0.3891625615763547
simple_NN_PL_model_2,0.0001,0.33,50,0.5475,0.3197969543147208,0.7684729064039408
simple_NN_PL_model_1,0.001,,50,0.5475,0.8375634517766497,0.2660098522167488
simple_NN_PL_model_3,0.0001,,20,0.5475,0.20812182741116753,0.8768472906403941
simple_NN_PL_model_3,0.0001,0.33,50,0.545,0.4517766497461929,0.6354679802955665
simple_NN_PL_model_3,0.001,,8,0.545,0.6294416243654822,0.4630541871921182
simple_NN_PL_model_1,0.001,0.33,10,0.545,0.6649746192893401,0.42857142857142855
simple_NN_PL_model_3,1e-05,0.33,10,0.545,0.5939086294416244,0.4975369458128079
simple_NN_PL_model_3,0.01,0.33,8,0.5425,0.16243654822335024,0.9113300492610837
simple_NN_PL_model_2,0.0001,,50,0.5425,0.5634517766497462,0.5221674876847291
