model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_rawdata_model_3,0.001,,50,0.9916666666666667,0.9893992932862191,0.9936908517350158
simple_NN_rawdata_model_1,0.01,,50,0.9916666666666667,0.9929328621908127,0.9905362776025236
simple_NN_rawdata_model_1,0.01,,8,0.99,0.9964664310954063,0.9842271293375394
simple_NN_rawdata_model_1,0.01,,10,0.99,0.9929328621908127,0.9873817034700315
simple_NN_rawdata_model_1,0.01,0.33,5,0.9883333333333333,0.9893992932862191,0.9873817034700315
simple_NN_rawdata_model_2,0.01,,5,0.9883333333333333,0.9893992932862191,0.9873817034700315
simple_NN_rawdata_model_1,0.01,0.33,50,0.9883333333333333,0.9823321554770318,0.9936908517350158
simple_NN_rawdata_model_1,0.01,,20,0.9883333333333333,0.9858657243816255,0.9905362776025236
simple_NN_rawdata_model_1,0.001,,8,0.9866666666666667,0.9823321554770318,0.9905362776025236
simple_NN_rawdata_model_2,0.01,0.33,10,0.9866666666666667,0.9858657243816255,0.9873817034700315
simple_NN_rawdata_model_1,0.001,,10,0.9866666666666667,0.9787985865724381,0.9936908517350158
simple_NN_rawdata_model_2,0.01,0.33,20,0.9866666666666667,0.9823321554770318,0.9905362776025236
simple_NN_rawdata_model_1,0.01,,5,0.9866666666666667,0.9858657243816255,0.9873817034700315
simple_NN_rawdata_model_2,0.01,,20,0.9866666666666667,0.9787985865724381,0.9936908517350158
simple_NN_rawdata_model_1,0.001,0.33,20,0.985,0.9787985865724381,0.9905362776025236
simple_NN_rawdata_model_1,0.01,0.33,10,0.985,1.0,0.9716088328075709
simple_NN_rawdata_model_1,0.001,,50,0.985,0.9787985865724381,0.9905362776025236
simple_NN_rawdata_model_1,0.001,,20,0.9833333333333333,0.9787985865724381,0.9873817034700315
simple_NN_rawdata_model_2,0.01,0.33,50,0.9833333333333333,0.9681978798586572,0.9968454258675079
simple_NN_rawdata_model_2,0.01,,8,0.9833333333333333,0.9858657243816255,0.9810725552050473
simple_NN_rawdata_model_1,0.01,0.33,20,0.9816666666666667,0.9823321554770318,0.9810725552050473
simple_NN_rawdata_model_3,0.01,0.33,50,0.9816666666666667,0.9681978798586572,0.9936908517350158
simple_NN_rawdata_model_1,0.001,0.33,8,0.9816666666666667,0.9929328621908127,0.9716088328075709
