model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2,1e-06,0.33,50,0.676056338028169,0.6470588235294118,0.7027027027027027
cnn_model_succeeded,1e-06,,1,0.6619718309859155,0.6470588235294118,0.6756756756756757
cnn_model_succeeded,0.0001,,3,0.647887323943662,0.9705882352941176,0.35135135135135137
simple_CNN_model_1_sigmoid,1e-06,,50,0.6338028169014085,0.6176470588235294,0.6486486486486487
cnn_model_succeeded,1e-05,0.33,1,0.6197183098591549,0.5588235294117647,0.6756756756756757
CNN_model_paper2,1e-07,,3,0.6056338028169014,0.8235294117647058,0.40540540540540543
simple_CNN_model_1_sigmoid,1e-07,,100,0.6056338028169014,0.5882352941176471,0.6216216216216216
simple_CNN_model_1_sigmoid,1e-06,,1,0.6056338028169014,0.8235294117647058,0.40540540540540543
cnn_model_succeeded,1e-07,0.33,10,0.6056338028169014,0.9117647058823529,0.32432432432432434
simple_CNN_model_1_sigmoid,1e-07,0.33,20,0.6056338028169014,0.9411764705882353,0.2972972972972973
CNN_model_paper2,0.0001,0.33,3,0.5915492957746479,0.5882352941176471,0.5945945945945946
simple_CNN_model_1_sigmoid,1e-06,,5,0.5915492957746479,0.7352941176470589,0.4594594594594595
simple_CNN_model_1_sigmoid,1e-07,0.33,5,0.5915492957746479,0.8235294117647058,0.3783783783783784
CNN_model_paper2,0.001,,5,0.5915492957746479,0.5882352941176471,0.5945945945945946
simple_CNN_model_1_sigmoid,1e-06,,100,0.5774647887323944,0.5882352941176471,0.5675675675675675
cnn_model_succeeded,0.0001,0.33,20,0.5774647887323944,0.7352941176470589,0.43243243243243246
CNN_model_paper2,1e-06,0.33,100,0.5774647887323944,0.5588235294117647,0.5945945945945946
simple_CNN_model_1_sigmoid,0.0001,0.33,10,0.5774647887323944,0.8235294117647058,0.35135135135135137
cnn_model_succeeded,1e-06,,50,0.5774647887323944,0.5882352941176471,0.5675675675675675
cnn_model_succeeded,0.0001,,50,0.5774647887323944,0.5882352941176471,0.5675675675675675
cnn_model_succeeded,1e-06,,10,0.5774647887323944,0.4411764705882353,0.7027027027027027
simple_CNN_model_1_sigmoid,1e-05,0.33,1,0.5774647887323944,0.7941176470588235,0.3783783783783784
cnn_model_succeeded,1e-05,,50,0.5774647887323944,0.5294117647058824,0.6216216216216216
simple_CNN_model_1_sigmoid,1e-05,0.33,5,0.5633802816901409,0.7352941176470589,0.40540540540540543
cnn_model_succeeded,0.0001,0.33,3,0.5633802816901409,0.8235294117647058,0.32432432432432434
