model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid_raw,0.001,,20,1.0,1.0,1.0
cnn_model_succeeded_raw,1e-05,0.33,100,1.0,1.0,1.0
CNN_model_paper2_raw,1e-05,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,1e-05,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,5,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,5,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,100,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,3,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,3,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,3,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,20,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,3,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,10,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,10,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,50,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,5,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,10,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,0.33,10,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,50,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,5,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,50,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,5,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,10,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,1,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,0.33,3,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,1,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.001,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,100,1.0,1.0,1.0
CNN_model_paper2_raw,1e-05,,100,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,,100,1.0,1.0,1.0
cnn_model_succeeded_raw,1e-05,,100,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,100,1.0,1.0,1.0
CNN_model_paper2_raw,0.0001,,20,1.0,1.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.0001,,20,1.0,1.0,1.0
cnn_model_succeeded_raw,0.001,0.33,3,1.0,1.0,1.0
CNN_model_paper2_raw,0.001,,20,1.0,1.0,1.0
CNN_model_paper2_raw,1e-06,,100,0.9905660377358491,1.0,0.9827586206896551
CNN_model_paper2_raw,1e-05,0.33,50,0.9905660377358491,1.0,0.9827586206896551
cnn_model_succeeded_raw,1e-05,0.33,50,0.9905660377358491,0.9791666666666666,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,3,0.9905660377358491,0.9791666666666666,1.0
cnn_model_succeeded_raw,1e-05,,20,0.9905660377358491,1.0,0.9827586206896551
simple_CNN_model_1_sigmoid_raw,1e-05,,20,0.9905660377358491,1.0,0.9827586206896551
CNN_model_paper2_raw,1e-05,0.33,100,0.9905660377358491,1.0,0.9827586206896551
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,5,0.9905660377358491,1.0,0.9827586206896551
cnn_model_succeeded_raw,0.0001,,1,0.9905660377358491,1.0,0.9827586206896551
CNN_model_paper2_raw,0.0001,0.33,5,0.9811320754716981,1.0,0.9655172413793104
CNN_model_paper2_raw,0.0001,0.33,3,0.9811320754716981,1.0,0.9655172413793104
CNN_model_paper2_raw,0.001,0.33,1,0.9811320754716981,0.9583333333333334,1.0
CNN_model_paper2_raw,0.001,0.33,3,0.9811320754716981,1.0,0.9655172413793104
CNN_model_paper2_raw,0.0001,,3,0.9811320754716981,1.0,0.9655172413793104
simple_CNN_model_1_sigmoid_raw,0.001,0.33,1,0.9716981132075472,1.0,0.9482758620689655
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,50,0.9716981132075472,0.9375,1.0
CNN_model_paper2_raw,1e-05,,20,0.9716981132075472,0.9583333333333334,0.9827586206896551
simple_CNN_model_1_sigmoid_raw,0.0001,,3,0.9528301886792453,0.9166666666666666,0.9827586206896551
CNN_model_paper2_raw,0.001,,1,0.9528301886792453,1.0,0.9137931034482759
cnn_model_succeeded_raw,1e-05,,10,0.9433962264150944,0.9583333333333334,0.9310344827586207
simple_CNN_model_1_sigmoid_raw,0.0001,,1,0.9433962264150944,0.875,1.0
cnn_model_succeeded_raw,0.0001,0.33,3,0.9056603773584906,0.7916666666666666,1.0
cnn_model_succeeded_raw,1e-05,0.33,10,0.8962264150943396,0.8958333333333334,0.896551724137931
CNN_model_paper2_raw,1e-05,,10,0.8679245283018868,1.0,0.7586206896551724
CNN_model_paper2_raw,0.0001,0.33,1,0.8584905660377359,1.0,0.7413793103448276
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,10,0.8584905660377359,0.6875,1.0
CNN_model_paper2_raw,1e-05,0.33,10,0.839622641509434,0.9375,0.7586206896551724
simple_CNN_model_1_sigmoid_raw,1e-06,,50,0.8301886792452831,0.6666666666666666,0.9655172413793104
CNN_model_paper2_raw,1e-05,0.33,20,0.8301886792452831,0.8125,0.8448275862068966
cnn_model_succeeded_raw,0.001,0.33,1,0.8301886792452831,1.0,0.6896551724137931
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,5,0.8207547169811321,0.6875,0.9310344827586207
cnn_model_succeeded_raw,1e-05,0.33,3,0.8113207547169812,0.7708333333333334,0.8448275862068966
cnn_model_succeeded_raw,1e-05,0.33,1,0.8018867924528302,0.5833333333333334,0.9827586206896551
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,10,0.7924528301886793,0.7083333333333334,0.8620689655172413
simple_CNN_model_1_sigmoid_raw,1e-07,,1,0.7830188679245284,0.5625,0.9655172413793104
simple_CNN_model_1_sigmoid_raw,1e-06,,100,0.7830188679245284,0.7916666666666666,0.7758620689655172
CNN_model_paper2_raw,0.0001,,1,0.7641509433962265,0.5,0.9827586206896551
cnn_model_succeeded_raw,1e-06,0.33,100,0.7452830188679245,0.8333333333333334,0.6724137931034483
cnn_model_succeeded_raw,1e-06,0.33,10,0.7264150943396226,0.6875,0.7586206896551724
CNN_model_paper2_raw,1e-06,0.33,1,0.7264150943396226,0.5416666666666666,0.8793103448275862
simple_CNN_model_1_sigmoid_raw,1e-05,,10,0.7264150943396226,0.6875,0.7586206896551724
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,100,0.7264150943396226,0.75,0.7068965517241379
simple_CNN_model_1_sigmoid_raw,1e-06,,20,0.6886792452830188,0.3333333333333333,0.9827586206896551
cnn_model_succeeded_raw,1e-06,0.33,50,0.6886792452830188,0.3333333333333333,0.9827586206896551
CNN_model_paper2_raw,1e-07,,1,0.6886792452830188,0.3125,1.0
cnn_model_succeeded_raw,1e-06,,100,0.6886792452830188,0.3125,1.0
