model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,0.0001,0.33,5,0.647887323943662,0.40625,0.8461538461538461
simple_NN_PL_model_3,0.0001,,5,0.6338028169014085,0.375,0.8461538461538461
simple_NN_PL_model_3,1e-05,0.33,10,0.6338028169014085,0.65625,0.6153846153846154
simple_NN_PL_model_1,0.001,0.33,3,0.6338028169014085,0.65625,0.6153846153846154
simple_NN_PL_model_2,0.0001,0.33,10,0.6338028169014085,0.53125,0.717948717948718
simple_NN_PL_model_1,1e-06,,3,0.6338028169014085,0.21875,0.9743589743589743
simple_NN_PL_model_3,0.0001,,3,0.6197183098591549,0.6875,0.5641025641025641
simple_NN_PL_model_1,0.001,,3,0.6197183098591549,0.53125,0.6923076923076923
simple_NN_PL_model_2,1e-06,0.33,20,0.6197183098591549,0.46875,0.7435897435897436
simple_NN_PL_model_3,1e-05,0.33,20,0.6197183098591549,0.25,0.9230769230769231
simple_NN_PL_model_3,1e-06,,5,0.6056338028169014,0.1875,0.9487179487179487
simple_NN_PL_model_3,1e-05,0.33,3,0.6056338028169014,0.25,0.8974358974358975
simple_NN_PL_model_2,0.001,0.33,20,0.6056338028169014,0.6875,0.5384615384615384
simple_NN_PL_model_1,1e-06,0.33,10,0.6056338028169014,0.625,0.5897435897435898
simple_NN_PL_model_2,0.0001,,50,0.6056338028169014,0.15625,0.9743589743589743
simple_NN_PL_model_1,1e-06,0.33,3,0.5915492957746479,0.15625,0.9487179487179487
simple_NN_PL_model_2,1e-06,0.33,3,0.5915492957746479,0.25,0.8717948717948718
simple_NN_PL_model_2,1e-05,,50,0.5915492957746479,0.6875,0.5128205128205128
simple_NN_PL_model_3,1e-06,0.33,8,0.5915492957746479,0.125,0.9743589743589743
simple_NN_PL_model_2,1e-05,0.33,50,0.5915492957746479,0.40625,0.7435897435897436
simple_NN_PL_model_1,0.0001,,5,0.5774647887323944,0.78125,0.41025641025641024
simple_NN_PL_model_1,1e-06,0.33,20,0.5774647887323944,0.15625,0.9230769230769231
simple_NN_PL_model_3,1e-05,0.33,5,0.5774647887323944,0.75,0.4358974358974359
simple_NN_PL_model_1,1e-05,0.33,5,0.5774647887323944,0.09375,0.9743589743589743
simple_NN_PL_model_1,0.001,,8,0.5774647887323944,0.34375,0.7692307692307693
simple_NN_PL_model_2,0.0001,,8,0.5774647887323944,0.59375,0.5641025641025641
simple_NN_PL_model_2,0.0001,0.33,8,0.5633802816901409,0.5,0.6153846153846154
simple_NN_PL_model_2,1e-06,,5,0.5633802816901409,0.125,0.9230769230769231
simple_NN_PL_model_1,1e-05,0.33,20,0.5633802816901409,0.71875,0.4358974358974359
simple_NN_PL_model_2,0.001,,10,0.5633802816901409,0.65625,0.48717948717948717
simple_NN_PL_model_2,1e-05,0.33,20,0.5633802816901409,0.65625,0.48717948717948717
simple_NN_PL_model_3,1e-06,,3,0.5633802816901409,0.09375,0.9487179487179487
simple_NN_PL_model_3,1e-06,0.33,50,0.5633802816901409,0.1875,0.8717948717948718
simple_NN_PL_model_1,1e-05,0.33,3,0.5633802816901409,0.5625,0.5641025641025641
simple_NN_PL_model_1,0.001,,5,0.5633802816901409,0.71875,0.4358974358974359
