model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,1e-06,,8,0.647887323943662,0.2,0.975609756097561
simple_NN_PL_model_2,1e-06,0.33,5,0.6338028169014085,0.16666666666666666,0.975609756097561
simple_NN_PL_model_2,1e-05,,3,0.6197183098591549,0.26666666666666666,0.8780487804878049
simple_NN_PL_model_1,0.01,0.33,3,0.6056338028169014,0.2,0.9024390243902439
simple_NN_PL_model_2,1e-05,,5,0.6056338028169014,0.26666666666666666,0.8536585365853658
simple_NN_PL_model_1,1e-05,0.33,10,0.6056338028169014,0.2,0.9024390243902439
simple_NN_PL_model_1,0.0001,0.33,5,0.5915492957746479,0.43333333333333335,0.7073170731707317
simple_NN_PL_model_2,1e-05,0.33,5,0.5915492957746479,0.43333333333333335,0.7073170731707317
simple_NN_PL_model_2,0.001,0.33,3,0.5915492957746479,0.13333333333333333,0.926829268292683
simple_NN_PL_model_2,1e-06,0.33,50,0.5915492957746479,0.4,0.7317073170731707
simple_NN_PL_model_1,0.0001,0.33,10,0.5915492957746479,0.6,0.5853658536585366
simple_NN_PL_model_2,0.01,0.33,8,0.5915492957746479,0.4,0.7317073170731707
simple_NN_PL_model_2,0.01,0.33,3,0.5774647887323944,0.0,1.0
simple_NN_PL_model_3,0.0001,0.33,10,0.5774647887323944,0.06666666666666667,0.9512195121951219
simple_NN_PL_model_2,1e-05,0.33,10,0.5774647887323944,0.0,1.0
simple_NN_PL_model_3,1e-06,0.33,20,0.5774647887323944,0.03333333333333333,0.975609756097561
simple_NN_PL_model_1,1e-05,0.33,20,0.5774647887323944,0.8333333333333334,0.3902439024390244
simple_NN_PL_model_1,0.01,0.33,5,0.5774647887323944,0.03333333333333333,0.975609756097561
simple_NN_PL_model_3,1e-06,,10,0.5774647887323944,0.0,1.0
simple_NN_PL_model_3,0.001,0.33,3,0.5774647887323944,0.03333333333333333,0.975609756097561
simple_NN_PL_model_3,1e-06,0.33,5,0.5633802816901409,0.03333333333333333,0.9512195121951219
simple_NN_PL_model_1,0.001,0.33,3,0.5633802816901409,0.03333333333333333,0.9512195121951219
