model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,0.001,0.33,50,0.6901408450704225,0.6842105263157895,0.696969696969697
simple_NN_PL_model_2,0.001,0.33,20,0.676056338028169,0.6052631578947368,0.7575757575757576
simple_NN_PL_model_1,0.01,0.33,50,0.676056338028169,0.6842105263157895,0.6666666666666666
simple_NN_PL_model_1,0.01,0.33,10,0.6619718309859155,0.7368421052631579,0.5757575757575758
simple_NN_PL_model_3,0.001,,8,0.6619718309859155,0.6052631578947368,0.7272727272727273
simple_NN_PL_model_3,0.01,0.33,20,0.6619718309859155,0.7631578947368421,0.5454545454545454
simple_NN_PL_model_2,0.001,,50,0.6619718309859155,0.5789473684210527,0.7575757575757576
simple_NN_PL_model_2,0.01,0.33,50,0.6619718309859155,0.7105263157894737,0.6060606060606061
simple_NN_PL_model_3,0.01,0.33,50,0.6619718309859155,0.7631578947368421,0.5454545454545454
simple_NN_PL_model_1,0.01,,20,0.647887323943662,0.7631578947368421,0.5151515151515151
simple_NN_PL_model_1,0.001,,20,0.647887323943662,0.6842105263157895,0.6060606060606061
simple_NN_PL_model_3,0.001,0.33,20,0.647887323943662,0.6842105263157895,0.6060606060606061
simple_NN_PL_model_3,0.001,,50,0.647887323943662,0.5526315789473685,0.7575757575757576
simple_NN_PL_model_3,0.0001,,50,0.6338028169014085,0.7368421052631579,0.5151515151515151
simple_NN_PL_model_1,0.0001,0.33,8,0.6338028169014085,0.9210526315789473,0.30303030303030304
simple_NN_PL_model_3,0.01,0.33,10,0.6338028169014085,0.868421052631579,0.36363636363636365
simple_NN_PL_model_1,0.01,,8,0.6338028169014085,0.6052631578947368,0.6666666666666666
simple_NN_PL_model_1,0.0001,,50,0.6338028169014085,0.6578947368421053,0.6060606060606061
simple_NN_PL_model_3,0.001,0.33,50,0.6197183098591549,0.631578947368421,0.6060606060606061
simple_NN_PL_model_2,0.0001,0.33,50,0.6197183098591549,0.7105263157894737,0.5151515151515151
simple_NN_PL_model_2,0.01,0.33,10,0.6197183098591549,0.5789473684210527,0.6666666666666666
simple_NN_PL_model_2,0.01,0.33,20,0.6197183098591549,0.8157894736842105,0.3939393939393939
simple_NN_PL_model_3,1e-06,0.33,20,0.6197183098591549,0.7894736842105263,0.42424242424242425
simple_NN_PL_model_3,0.01,,50,0.6197183098591549,0.6842105263157895,0.5454545454545454
