model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_rawdata_model_1,0.01,0.33,3,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.001,,10,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.001,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.001,,8,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,,8,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,8,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,3,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,0.33,8,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,8,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,8,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,,5,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,5,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,5,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,0.33,5,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,5,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,5,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.01,,10,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,0.33,20,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,4,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,0.33,20,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.0001,,50,1.0,1.0,1.0
simple_NN_rawdata_model_3,0.001,,50,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.001,,50,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.001,,50,1.0,1.0,1.0
simple_NN_rawdata_model_2,0.01,,50,1.0,1.0,1.0
simple_NN_rawdata_model_1,0.01,,50,1.0,1.0,1.0
