model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid,1e-07,0.33,3,0.7037037037037037,0.9726027397260274,0.14285714285714285
cnn_model_succeeded,0.0001,,20,0.6944444444444444,0.8904109589041096,0.2857142857142857
CNN_model_paper2,1e-07,,1,0.6851851851851852,0.9726027397260274,0.08571428571428572
cnn_model_succeeded,0.001,0.33,1,0.6851851851851852,1.0,0.02857142857142857
CNN_model_paper2,0.0001,0.33,5,0.6851851851851852,0.9315068493150684,0.17142857142857143
cnn_model_succeeded,0.001,0.33,5,0.6851851851851852,1.0,0.02857142857142857
CNN_model_paper2,1e-07,,5,0.6851851851851852,0.9178082191780822,0.2
simple_CNN_model_1,0.001,0.33,20,0.6759259259259259,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.6759259259259259,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper,0.001,0.33,1,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.6759259259259259,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,1e-07,,10,0.6759259259259259,1.0,0.0
CNN_model_paper,1e-07,,10,0.6759259259259259,1.0,0.0
simple_CNN_model_1,1e-06,,10,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,1e-06,,10,0.6759259259259259,1.0,0.0
CNN_model_paper,1e-05,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,20,0.6759259259259259,1.0,0.0
simple_CNN_model_1,1e-05,0.33,20,0.6759259259259259,1.0,0.0
CNN_model_paper,1e-06,0.33,20,0.6759259259259259,1.0,0.0
cnn_model_succeeded,1e-05,,20,0.6759259259259259,0.8493150684931506,0.3142857142857143
simple_CNN_model_1,1e-05,,20,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,1e-05,,20,0.6759259259259259,1.0,0.0
CNN_model_paper,1e-05,,20,0.6759259259259259,1.0,0.0
simple_CNN_model_1,0.0001,,20,0.6759259259259259,1.0,0.0
CNN_model_paper_withDropout,0.0001,,20,0.6759259259259259,1.0,0.0
