model,learning_rate,val_split,epochs,accuracy,TPR,TNR
cnn_model_succeeded,1e-07,,10,0.7037037037037037,0.9444444444444444,0.2222222222222222
cnn_model_succeeded,0.001,0.33,20,0.6759259259259259,1.0,0.027777777777777776
simple_CNN_model_1_sigmoid,0.001,0.33,100,0.6759259259259259,1.0,0.027777777777777776
CNN_model_paper2,0.0001,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-05,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-05,0.33,20,0.6666666666666666,1.0,0.0
cnn_model_succeeded,0.0001,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper,0.001,0.33,1,0.6666666666666666,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-06,,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.001,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-07,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-07,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-06,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-06,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-07,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,1e-05,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-05,,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-05,,20,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-05,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.0001,,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.0001,,20,0.6666666666666666,1.0,0.0
CNN_model_paper2,0.0001,,20,0.6666666666666666,1.0,0.0
CNN_model_paper,0.0001,,20,0.6666666666666666,1.0,0.0
cnn_model_succeeded,0.001,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.001,,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.001,,20,0.6666666666666666,1.0,0.0
CNN_model_paper,0.001,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-07,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,20,0.6666666666666666,1.0,0.0
CNN_model_paper2,1e-07,0.33,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-06,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-06,,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-06,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-05,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-05,0.33,10,0.6666666666666666,1.0,0.0
cnn_model_succeeded,0.0001,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.0001,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper2,0.0001,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper,0.0001,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.001,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper,0.001,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-07,,5,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-07,,5,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-07,,5,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,1e-06,,5,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-06,,5,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-06,,5,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-06,,5,0.6666666666666666,1.0,0.0
CNN_model_paper2,1e-05,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-05,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.001,,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-05,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-05,,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,0.0001,,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.0001,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,0.0001,,10,0.6666666666666666,1.0,0.0
cnn_model_succeeded,0.001,,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,0.001,,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-06,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper2,0.001,0.33,1,0.6666666666666666,1.0,0.0
cnn_model_succeeded,1e-07,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-07,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-07,0.33,10,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-06,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,10,0.6666666666666666,1.0,0.0
CNN_model_paper,1e-06,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-06,,20,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-05,,5,0.6666666666666666,1.0,0.0
CNN_model_paper_withDropout,1e-07,,50,0.6666666666666666,1.0,0.0
simple_CNN_model_1,1e-07,0.33,100,0.6666666666666666,1.0,0.0
