model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_1,1e-06,,10,0.7037037037037037,0.9459459459459459,0.17647058823529413
simple_NN_PL_model_1,0.001,0.33,50,0.6944444444444444,0.9864864864864865,0.058823529411764705
simple_NN_PL_model_1,0.001,0.33,8,0.6944444444444444,1.0,0.029411764705882353
simple_NN_PL_model_1,1e-06,0.33,20,0.6944444444444444,1.0,0.029411764705882353
simple_NN_PL_model_2,0.01,0.33,20,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,5,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,1e-05,,3,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.01,,5,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.001,,5,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.001,0.33,10,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,1e-05,0.33,10,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,20,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,1e-06,0.33,5,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.01,,20,0.6851851851851852,1.0,0.0
simple_NN_PL_model_2,0.01,,20,0.6851851851851852,1.0,0.0
simple_NN_PL_model_2,1e-06,,20,0.6851851851851852,0.972972972972973,0.058823529411764705
simple_NN_PL_model_1,0.01,0.33,50,0.6851851851851852,1.0,0.0
simple_NN_PL_model_1,0.01,,50,0.6851851851851852,1.0,0.0
simple_NN_PL_model_3,0.01,,50,0.6851851851851852,1.0,0.0
simple_NN_PL_model_3,0.01,0.33,20,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_3,0.0001,,20,0.6759259259259259,0.7567567567567568,0.5
simple_NN_PL_model_2,1e-05,,8,0.6759259259259259,0.9594594594594594,0.058823529411764705
simple_NN_PL_model_2,0.01,,8,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_2,1e-06,0.33,5,0.6759259259259259,0.972972972972973,0.029411764705882353
simple_NN_PL_model_1,0.001,,50,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_1,0.01,0.33,10,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_3,1e-06,,50,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_1,1e-05,0.33,3,0.6759259259259259,0.9594594594594594,0.058823529411764705
simple_NN_PL_model_2,0.01,,3,0.6759259259259259,0.9864864864864865,0.0
simple_NN_PL_model_1,0.001,0.33,20,0.6666666666666666,0.972972972972973,0.0
simple_NN_PL_model_2,0.01,0.33,5,0.6666666666666666,0.9594594594594594,0.029411764705882353
simple_NN_PL_model_1,0.001,,10,0.6666666666666666,0.9594594594594594,0.029411764705882353
simple_NN_PL_model_3,1e-06,0.33,10,0.6666666666666666,0.9054054054054054,0.14705882352941177
simple_NN_PL_model_2,0.01,,5,0.6666666666666666,0.9594594594594594,0.029411764705882353
simple_NN_PL_model_3,0.01,0.33,3,0.6666666666666666,0.972972972972973,0.0
simple_NN_PL_model_1,0.01,,8,0.6666666666666666,0.972972972972973,0.0
simple_NN_PL_model_1,1e-05,0.33,8,0.6666666666666666,0.9594594594594594,0.029411764705882353
simple_NN_PL_model_1,0.01,0.33,8,0.6666666666666666,0.972972972972973,0.0
simple_NN_PL_model_1,1e-06,0.33,50,0.6666666666666666,0.972972972972973,0.0
simple_NN_PL_model_3,1e-06,,10,0.6574074074074074,0.9594594594594594,0.0
simple_NN_PL_model_2,0.01,0.33,8,0.6574074074074074,0.9594594594594594,0.0
simple_NN_PL_model_3,1e-06,0.33,20,0.6481481481481481,0.8648648648648649,0.17647058823529413
simple_NN_PL_model_3,0.001,,3,0.6481481481481481,0.8108108108108109,0.29411764705882354
