model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,0.0001,0.33,3,0.6759259259259259,0.782608695652174,0.48717948717948717
simple_NN_PL_model_2,0.01,0.33,8,0.6666666666666666,0.7971014492753623,0.4358974358974359
simple_NN_PL_model_2,0.01,,3,0.6574074074074074,1.0,0.05128205128205128
simple_NN_PL_model_1,1e-06,,10,0.6574074074074074,0.9710144927536232,0.10256410256410256
simple_NN_PL_model_2,1e-06,,5,0.6481481481481481,0.9420289855072463,0.1282051282051282
simple_NN_PL_model_1,0.01,,10,0.6388888888888888,1.0,0.0
simple_NN_PL_model_3,1e-06,0.33,5,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.01,,5,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.0001,,5,0.6388888888888888,0.9855072463768116,0.02564102564102564
simple_NN_PL_model_1,0.01,0.33,50,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.001,0.33,50,0.6388888888888888,0.855072463768116,0.2564102564102564
simple_NN_PL_model_1,0.01,,50,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.001,,20,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.01,,20,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.01,,8,0.6388888888888888,1.0,0.0
simple_NN_PL_model_2,0.01,,8,0.6388888888888888,1.0,0.0
simple_NN_PL_model_2,0.01,0.33,10,0.6388888888888888,1.0,0.0
simple_NN_PL_model_3,0.01,0.33,5,0.6388888888888888,1.0,0.0
simple_NN_PL_model_2,0.01,,5,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,20,0.6388888888888888,1.0,0.0
simple_NN_PL_model_2,1e-06,0.33,3,0.6388888888888888,1.0,0.0
simple_NN_PL_model_1,0.001,,50,0.6388888888888888,0.7391304347826086,0.46153846153846156
simple_NN_PL_model_2,0.001,,50,0.6388888888888888,1.0,0.0
simple_NN_PL_model_2,1e-06,,3,0.6296296296296297,0.9855072463768116,0.0
simple_NN_PL_model_1,0.001,0.33,10,0.6296296296296297,0.8985507246376812,0.15384615384615385
simple_NN_PL_model_1,0.001,,5,0.6296296296296297,0.9855072463768116,0.0
simple_NN_PL_model_1,0.001,0.33,20,0.6296296296296297,0.9710144927536232,0.02564102564102564
simple_NN_PL_model_3,0.01,,8,0.6296296296296297,0.9855072463768116,0.0
simple_NN_PL_model_2,0.01,0.33,20,0.6296296296296297,0.855072463768116,0.23076923076923078
simple_NN_PL_model_3,0.01,,10,0.6296296296296297,0.9855072463768116,0.0
simple_NN_PL_model_3,0.0001,0.33,5,0.6296296296296297,0.8405797101449275,0.2564102564102564
simple_NN_PL_model_1,0.0001,,10,0.6203703703703703,0.9565217391304348,0.02564102564102564
simple_NN_PL_model_1,1e-05,0.33,10,0.6203703703703703,0.8260869565217391,0.2564102564102564
simple_NN_PL_model_3,1e-06,0.33,8,0.6203703703703703,0.9710144927536232,0.0
simple_NN_PL_model_2,0.01,,20,0.6203703703703703,0.9710144927536232,0.0
simple_NN_PL_model_3,0.01,,5,0.6203703703703703,0.9565217391304348,0.02564102564102564
simple_NN_PL_model_2,0.001,,10,0.6203703703703703,0.9565217391304348,0.02564102564102564
simple_NN_PL_model_3,0.001,0.33,8,0.6203703703703703,0.9130434782608695,0.10256410256410256
simple_NN_PL_model_1,1e-06,0.33,5,0.6203703703703703,0.9565217391304348,0.02564102564102564
simple_NN_PL_model_2,1e-06,0.33,5,0.6203703703703703,0.8985507246376812,0.1282051282051282
simple_NN_PL_model_1,0.0001,0.33,10,0.6203703703703703,0.8115942028985508,0.28205128205128205
simple_NN_PL_model_1,0.0001,0.33,20,0.6203703703703703,0.782608695652174,0.3333333333333333
simple_NN_PL_model_1,1e-05,,5,0.6111111111111112,0.7681159420289855,0.3333333333333333
simple_NN_PL_model_2,0.0001,0.33,10,0.6111111111111112,0.8840579710144928,0.1282051282051282
simple_NN_PL_model_2,1e-06,,50,0.6111111111111112,0.8405797101449275,0.20512820512820512
simple_NN_PL_model_1,0.01,0.33,8,0.6111111111111112,0.8985507246376812,0.10256410256410256
simple_NN_PL_model_3,1e-05,0.33,50,0.6111111111111112,0.7681159420289855,0.3333333333333333
simple_NN_PL_model_2,1e-05,0.33,10,0.6111111111111112,0.7536231884057971,0.358974358974359
simple_NN_PL_model_3,0.01,0.33,20,0.6111111111111112,0.782608695652174,0.3076923076923077
simple_NN_PL_model_3,0.01,,50,0.6111111111111112,0.9565217391304348,0.0
simple_NN_PL_model_3,1e-05,,50,0.6111111111111112,0.7101449275362319,0.4358974358974359
simple_NN_PL_model_2,0.01,,50,0.6018518518518519,0.6956521739130435,0.4358974358974359
simple_NN_PL_model_3,0.01,0.33,8,0.6018518518518519,0.927536231884058,0.02564102564102564
simple_NN_PL_model_3,0.0001,,3,0.6018518518518519,0.7246376811594203,0.38461538461538464
simple_NN_PL_model_3,1e-06,0.33,10,0.6018518518518519,0.7246376811594203,0.38461538461538464
