model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_3,1e-06,0.33,10,0.6481481481481481,0.6515151515151515,0.6428571428571429
simple_NN_PL_model_3,1e-05,0.33,50,0.6388888888888888,0.9696969696969697,0.11904761904761904
simple_NN_PL_model_1,1e-05,,8,0.6388888888888888,0.7575757575757576,0.4523809523809524
simple_NN_PL_model_3,0.0001,,8,0.6296296296296297,0.9545454545454546,0.11904761904761904
simple_NN_PL_model_3,1e-06,0.33,8,0.6296296296296297,0.7727272727272727,0.40476190476190477
simple_NN_PL_model_3,0.0001,,20,0.6203703703703703,1.0,0.023809523809523808
simple_NN_PL_model_2,0.0001,0.33,20,0.6203703703703703,0.9242424242424242,0.14285714285714285
simple_NN_PL_model_3,0.001,0.33,50,0.6203703703703703,1.0,0.023809523809523808
simple_NN_PL_model_1,0.0001,0.33,50,0.6203703703703703,1.0,0.023809523809523808
simple_NN_PL_model_2,1e-06,0.33,5,0.6203703703703703,0.8333333333333334,0.2857142857142857
simple_NN_PL_model_2,0.0001,,5,0.6203703703703703,1.0,0.023809523809523808
simple_NN_PL_model_3,0.0001,,10,0.6203703703703703,0.9848484848484849,0.047619047619047616
simple_NN_PL_model_3,0.0001,,50,0.6203703703703703,0.9242424242424242,0.14285714285714285
simple_NN_PL_model_2,0.01,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.001,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.0001,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.001,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,1e-06,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.001,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.01,0.33,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,3,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,1e-06,,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.01,0.33,3,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,1e-06,,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,1e-06,,8,0.6111111111111112,0.7272727272727273,0.42857142857142855
simple_NN_PL_model_3,0.01,,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,1e-05,,8,0.6111111111111112,0.803030303030303,0.30952380952380953
simple_NN_PL_model_3,0.001,,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.001,,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.01,,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.001,0.33,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.001,0.33,8,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.01,,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.0001,,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.001,,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.001,,10,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,1e-05,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.001,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.001,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.001,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.01,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.01,,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,1e-06,0.33,50,0.6111111111111112,0.9545454545454546,0.07142857142857142
simple_NN_PL_model_3,0.0001,0.33,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.001,0.33,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_3,0.01,0.33,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_2,0.01,0.33,50,0.6111111111111112,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,50,0.6111111111111112,1.0,0.0
