model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_genes_model_2,0.0001,,8,0.7037037037037037,0.9264705882352942,0.325
simple_NN_genes_model_3,1e-05,0.33,3,0.6851851851851852,0.8970588235294118,0.325
simple_NN_genes_model_3,0.001,,5,0.6851851851851852,0.9558823529411765,0.225
simple_NN_genes_model_2,1e-06,0.33,5,0.6851851851851852,0.7794117647058824,0.525
simple_NN_genes_model_3,1e-06,,4,0.6851851851851852,0.7647058823529411,0.55
simple_NN_genes_model_2,0.0001,0.33,50,0.6851851851851852,0.8823529411764706,0.35
simple_NN_genes_model_2,1e-06,,20,0.6851851851851852,0.8088235294117647,0.475
simple_NN_genes_model_3,1e-05,0.33,10,0.6759259259259259,0.7352941176470589,0.575
simple_NN_genes_model_3,0.01,0.33,10,0.6759259259259259,0.9705882352941176,0.175
simple_NN_genes_model_2,0.001,,3,0.6759259259259259,0.9852941176470589,0.15
simple_NN_genes_model_2,1e-06,,4,0.6759259259259259,0.7352941176470589,0.575
simple_NN_genes_model_3,0.001,,10,0.6666666666666666,0.9705882352941176,0.15
simple_NN_genes_model_1,1e-06,,50,0.6574074074074074,0.9558823529411765,0.15
simple_NN_genes_model_3,0.0001,,20,0.6574074074074074,0.9558823529411765,0.15
simple_NN_genes_model_1,0.001,0.33,20,0.6481481481481481,0.8676470588235294,0.275
simple_NN_genes_model_2,0.0001,,10,0.6481481481481481,0.9705882352941176,0.1
simple_NN_genes_model_3,1e-05,,20,0.6481481481481481,0.6764705882352942,0.6
simple_NN_genes_model_1,0.0001,,8,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_2,0.0001,0.33,10,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_2,0.001,0.33,5,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_3,0.0001,0.33,4,0.6388888888888888,0.8088235294117647,0.35
simple_NN_genes_model_1,1e-06,0.33,4,0.6388888888888888,0.7647058823529411,0.425
simple_NN_genes_model_2,1e-05,,5,0.6388888888888888,0.9411764705882353,0.125
simple_NN_genes_model_1,0.001,,4,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_3,0.01,0.33,5,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_3,1e-06,,8,0.6388888888888888,0.7794117647058824,0.4
simple_NN_genes_model_3,0.001,,4,0.6388888888888888,0.9852941176470589,0.05
simple_NN_genes_model_2,0.001,,10,0.6388888888888888,1.0,0.025
simple_NN_genes_model_1,0.0001,0.33,4,0.6388888888888888,0.9264705882352942,0.15
simple_NN_genes_model_1,1e-06,0.33,5,0.6388888888888888,0.9264705882352942,0.15
simple_NN_genes_model_2,1e-05,,10,0.6388888888888888,0.7647058823529411,0.425
simple_NN_genes_model_2,0.0001,,50,0.6388888888888888,0.9117647058823529,0.175
simple_NN_genes_model_1,1e-05,0.33,50,0.6388888888888888,0.9705882352941176,0.075
simple_NN_genes_model_3,0.01,,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.01,,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,0.33,3,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.0001,0.33,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.001,0.33,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.001,0.33,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.0001,0.33,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,0.33,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.01,0.33,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.01,,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.0001,,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.0001,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.001,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.001,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.01,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.01,,5,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.001,,8,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.01,,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.001,0.33,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.01,,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,1e-06,0.33,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,1e-06,,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.01,0.33,20,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.001,0.33,10,0.6296296296296297,0.7352941176470589,0.45
simple_NN_genes_model_3,0.01,0.33,20,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.001,0.33,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.001,0.33,10,0.6296296296296297,0.9852941176470589,0.025
simple_NN_genes_model_1,0.01,,20,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.001,,20,0.6296296296296297,0.9852941176470589,0.025
simple_NN_genes_model_2,0.01,0.33,10,0.6296296296296297,0.9852941176470589,0.025
simple_NN_genes_model_1,0.01,0.33,10,0.6296296296296297,1.0,0.0
simple_NN_genes_model_2,0.0001,,20,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.0001,,8,0.6296296296296297,0.8529411764705882,0.25
simple_NN_genes_model_2,0.01,0.33,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_3,0.01,0.33,50,0.6296296296296297,1.0,0.0
simple_NN_genes_model_1,0.001,0.33,50,0.6296296296296297,1.0,0.0
